Nome EC,UF EC,Cidade EC,Logradouro EC,Desvio de Preço (%),Blacklist,Preço por Litro,Mercadoria
POSTO CAPEBE COQUERAL,MG,COQUEIRAL,Rua AV PRESINTE AURELIANO CHEV 3,"5,59%",✅ Dentro da média,4.550000000000001,Etanol
AUTO POSTO DF 180,GO,AGUAS LINDAS DE GOIAS,Área QUADRA 8 SN LT 16 17 E 18 S,"5,59%",✅ Dentro da média,4.55,Etanol
POSTO CAPEBE ILCINEA,MG,ILICINEA,"Avenida 15 DE NOVEMBRO, 1057","5,59%",✅ Dentro da média,4.55,Etanol
SERVICAR SA,PE,JABOATAO DOS GUARARAPES,"Rua AV.  ARMINDO MOURA,461, S/N","5,54%",✅ Dentro da média,6.5617160191122865,Gasolina Comum
POSTO INDEPENDENTE,CE,BREJO SANTO,"Rua R JOSE MATIAS SAMPAIO 750, S","5,51%",✅ Dentro da média,6.56,Gasolina Comum
POSTO MARLIN,ES,SERRA,"Rua ROD.ES 010 KM 09, S/N","5,50%",✅ Dentro da média,6.559209113336236,Gasolina Comum
POSTO SANTO ANTONIO,MG,COROMANDEL,Rua R CLESIO EUSTAQUIO MIGUELETO,"5,49%",✅ Dentro da média,6.2,Diesel S10
POSTO UMARITUBA HORIZONTE,CE,HORIZONTE,Rua AV PRESID CASTELO BRANCO 867,"5,49%",✅ Dentro da média,6.558476293282404,Gasolina Comum
POSTO SUL-SHELL,CE,FORTALEZA,"Rua ROD.  BR-116 KM 07 N 2620, S","5,41%",✅ Dentro da média,6.553421972344629,Gasolina Comum
AUTO POSTO VIAGAS,PE,RECIFE,"Área AV.  RECIFE 2586, S/N","5,35%",✅ Dentro da média,6.55,Gasolina Comum
PETROCAL BOA VIAGEM,PE,RECIFE,"Rua R ERNESTO DE PAULA STOS 465,","5,35%",✅ Dentro da média,6.55,Gasolina Comum
POSTO ATLANTIDA,PE,PAULISTA,R 24,"5,35%",✅ Dentro da média,6.55,Gasolina Comum
POSTO SAO JANUARIO LTDA,PE,OLINDA,"Rua AV OLINDA 514, S/N","5,35%",✅ Dentro da média,6.55,Gasolina Comum
VENDA GRANDE,PE,RECIFE,Área AV ENGENHEIRO ABDIAS DE CAR,"5,35%",✅ Dentro da média,6.549999999999999,Gasolina Comum
POSTO BRAGA,CE,MOMBACA,"Rua R JOSE DE SA AZEVEDO, 99, S/","5,32%",✅ Dentro da média,6.19,Diesel S10
POSTO BRASIL-SHELL,CE,SOBRAL,"Rua AV.  BR-222 KM 221, S/N","5,32%",✅ Dentro da média,6.19,Diesel S10
POSTO CACIQUE,PI,AGUA BRANCA,"Área RODOVIA BR 343 805-A, S/N","5,32%",✅ Dentro da média,6.19,Diesel S10
POSTO CORRENTINA,BA,CORRENTINA,"Rua ROD BR 349 KM 46, 46, S/N","5,32%",✅ Dentro da média,6.19,Diesel S10
POSTO GAVIAO,CE,FORTALEZA,"Rua AV.  BEZERRA DE MENEZES 161,","5,32%",✅ Dentro da média,6.19,Diesel S10
POSTO MARACAJA,PE,SURUBIM,"Rua ROD PE 90 KM 63,3, S/N","5,32%",✅ Dentro da média,6.19,Diesel S10
POSTO NOVA OLINDA,TO,NOVA OLINDA,"Rua AV.BERNARDO SAYAO 861, S/N","5,32%",✅ Dentro da média,6.19,Diesel S10
QS COMBUSTIVEIS,CE,EUSEBIO,"Avenida EUSEBIO DE QUEIROZ, 2651","5,32%",✅ Dentro da média,6.19,Diesel S10
TAMARA GOMES UCHOA DE AMORIM,CE,IGUATU,"Avenida CARLOS ROBERTO COSTA, 17","5,32%",✅ Dentro da média,6.19,Diesel S10
POSTO ANEL VIARIO,CE,JUAZEIRO DO NORTE,"Avenida DO AGRICULTOR, 1575","5,31%",✅ Dentro da média,6.547236260265321,Gasolina Comum
MM PETROLEO,CE,MARACANAU,"Avenida RADIALISTA JOAO RAMOS, 3","5,28%",✅ Dentro da média,6.545526970450821,Gasolina Comum
POSTO 3D JAMAPARA,RJ,JAMAPARA,"Rua AV  COTRIL, S/N","5,28%",✅ Dentro da média,5.790000000000001,Diesel S50
POSTO CATATAU,CE,TIANGUA,"Rua BR 222 KM 314, S/N","5,27%",✅ Dentro da média,6.544955403683541,Gasolina Comum
AUTO POSTO CIDADAO LTDA,SP,FRANCA,"Avenida BRASIL, 2300","5,27%",✅ Dentro da média,6.544824561403508,Gasolina Comum
POSTO AMIGAO DE MURIAE,MG,MURIAE,"Rua RODOVIA  BR-116, S/N","5,19%",✅ Dentro da média,6.54,Gasolina Comum
POSTO DON INACIO-BANDEIRA BRANCA,MG,GUAXUPE,AV DONA FLORIANA 1709,"5,15%",✅ Dentro da média,6.18,Diesel S10
DIAS E ROMA LTDA,CE,FORTALEZA,"Rua AV.  GODOFREDO MACIEL, 6060,","5,15%",✅ Dentro da média,6.537252814116215,Gasolina Comum
POSTO DOIS IRMAOS,CE,BARBALHA,"Rua AV COSTA CAVALCANTI 1075, S/","5,14%",✅ Dentro da média,6.25,Diesel
PETROCAL OLINDA,PE,OLINDA,"Rua AV. DR JOAQUIM NABUCO 2445,","5,14%",✅ Dentro da média,6.536690083761146,Gasolina Comum
POSTO APM,PE,OLINDA,"Rua R MONTEIRO LOBATO 32, S/N","5,13%",✅ Dentro da média,6.536329917032699,Gasolina Comum
JET POSTO,SP,FRANCA,"Área AVENIDA AV D PEDRO I 1295,","5,12%",✅ Dentro da média,4.53,Etanol
POSTO JUNQUEIRA,SP,RIBEIRAO PRETO,"Rua RUA OLAVO BILAC, N 20, S/N","5,12%",✅ Dentro da média,4.53,Etanol
AUTO POSTO ROCHA,DF,BRASILIA,"Rua QN 502 CJ 21 LT 1/2, S/N","5,09%",✅ Dentro da média,6.534065934065934,Gasolina Comum
POSTO PERIMETRAL,PE,PAULISTA,"Rua RUA CANOAS, S/N","5,03%",✅ Dentro da média,6.530000000000001,Gasolina Comum
POSTO PG JOSE RUFINO,PE,RECIFE,"Área AV DOUTOR JOSE RUFINO, 3100","5,03%",✅ Dentro da média,6.530000000000001,Gasolina Comum
AUTO POSTO TIGRAO,CE,FORTALEZA,"Rua BR 116 KM 12    2928, S/N","5,03%",✅ Dentro da média,6.53,Gasolina Comum
POSTO SAO JOAO POR DO SOL,CE,FORTALEZA,"Rua AV BARAO DE AQUIRAZ 2530, S/","5,01%",✅ Dentro da média,6.52885601097059,Gasolina Comum
AUTO POSTO N2,MA,BURITICUPU,"Rua ROD BR 222 KM 166 SAGRIMA, S","4,98%",✅ Dentro da média,6.526888650676673,Gasolina Comum
AUTO POSTO CITY PETROP,SP,FRANCA,Rua AV.  RICARTE SOARES SILVA 13,"4,97%",✅ Dentro da média,4.523318580074066,Etanol
ECO VIP COMERCIO DE CO,PE,RECIFE,"Área AV DA RECUPERACAO 5774, S/N","4,93%",✅ Dentro da média,6.523829515611323,Gasolina Comum
POSTO APM 3,PE,OLINDA,Rua AV.GOV CARLOS  L CAVALCANTE,"4,93%",✅ Dentro da média,6.523762949011167,Gasolina Comum
POSTO WAFAROGA,RJ,CAMPOS DOS GOYTACAZES,"Rua MESSIAS URBANO DOS SANTOS, 5","4,92%",✅ Dentro da média,6.523092426710098,Gasolina Comum
CENTRO AUT NOVO BARAO,SP,MAUA,"Avenida BARAO DE MAUA, 2855","4,89%",✅ Dentro da média,4.520093143991449,Etanol
AUTO POSTO ROTA 22,ES,GUARAPARI,AV PE JOSE DE ANCHIET 2083,"4,89%",✅ Dentro da média,6.521239272227944,Gasolina Comum
POSTO JALISCO,RJ,BARRA DO PIRAI,"Rua R ANGELICA 127, S/N","4,88%",✅ Dentro da média,6.520906601583428,Gasolina Comum
VIP POSTOS E SERVICOS,PE,PAULISTA,Rua AV PREFEITO JOSE EUSTAQUIO D,"4,88%",✅ Dentro da média,6.5206036305314585,Gasolina Comum
POSTO 2000,CE,CEDRO,"Rua R DR. GUEDES MARTINS  520, S","4,88%",✅ Dentro da média,6.520512048192772,Gasolina Comum
AUTOPOSTO DE COMBUSTIVEIS BOM DE,PB,RIACHAO DO POCO,"Rua BR 230 KM 77, S/N","4,87%",✅ Dentro da média,6.52,Gasolina Comum
POSTO SAO BENTO,PE,PAULISTA,"Área AVENIDA DR CLAUDIO JOSE GU,","4,86%",✅ Dentro da média,6.519583900408291,Gasolina Comum
POSTO ALTO DO TENENTE,CE,VARZEA ALEGRE,"Área R ANTONIO ALVES DE LIMA, S/","4,85%",✅ Dentro da média,6.5188357529177345,Gasolina Comum
POSTO SAO JOAO,CE,EUSEBIO,"Rua ROD CE040  QLM05 SN, S/N","4,83%",✅ Dentro da média,6.51779874504014,Gasolina Comum
POSTO SAO DOMINGOS CORACAO,CE,SOBRAL,"Rua AV.  JOSE EUCLIDES FERREIRA,","4,81%",✅ Dentro da média,6.159990458015266,Diesel S10
PONTES & LANDIM COMBUSTIVEIS,CE,CAUCAIA,Rua RODOVIA  ESTRUTURANTE - CE 0,"4,78%",✅ Dentro da média,6.514425287356321,Gasolina Comum
VILA DE GOIANA COMERCIO DE COMB,PE,GOIANA,LARGO DA ALVORADA  N 100,"4,77%",✅ Dentro da média,6.5138415428720355,Gasolina Comum
AUTO POSTO LACERDAO III LTDA,SE,FREI PAULO,"Rua ROD BR 235 KM 73 SN RODOVIA,","4,71%",✅ Dentro da média,6.51,Gasolina Comum
POSTO SOBOM,SE,NOSSA SENHORA DAS DORES,Rua AV PAULO VASCONCELOS 400 CEN,"4,71%",✅ Dentro da média,6.51,Gasolina Comum
POSTO AYRTON SENNA,PE,JABOATAO DOS GUARARAPES,"Avenida AYRTON SENNA DA SILVA, 2","4,70%",✅ Dentro da média,6.509285507665607,Gasolina Comum
PETROSERVICE,PE,RECIFE,"Área AV JOAO DE BARROS, 1179, S/","4,70%",✅ Dentro da média,6.509281799591002,Gasolina Comum
POSTO P DA SILVA,PI,PICOS,Rua AV. SENADOR HELVIDIO NUNES 2,"4,64%",✅ Dentro da média,6.15,Diesel S10
POSTO VEREDAS EXPRESS,MG,MURIAE,"Avenida DONA MARICAS, 50","4,63%",✅ Dentro da média,6.504964216005205,Gasolina Comum
INVESTGAS,PE,RECIFE,Rua AV RECUPERACAO BR 101 KM 57,"4,57%",✅ Dentro da média,6.501782768613465,Gasolina Comum
POSTO LITORAL,CE,CASCAVEL,"Rua ROD CE 40 KM 47,2, S/N","4,57%",✅ Dentro da média,6.501329596689524,Gasolina Comum
ARLINDO FONSECA LINS E,PE,ESCADA,"Rua ROD BR 101 SUL KM 132, S/N","4,55%",✅ Dentro da média,6.5,Gasolina Comum
KG COMBUSTIVEIS,CE,IGUATU,Rua AVENIDA PRESIDENTE EURICO DU,"4,55%",✅ Dentro da média,6.5,Gasolina Comum
POSTO MAGNOLIA,MA,ACAILANDIA,"Rua BR 10 KM 1415, S/N","4,55%",✅ Dentro da média,6.5,Gasolina Comum
POSTO SAO JOAO,MA,SAO JOAO DOS PATOS,"Rua AV PRESIDENTE MEDICI   1740,","4,55%",✅ Dentro da média,6.5,Gasolina Comum
POSTO VALADARES,PI,VALENCA DO PIAUI,"Rua R JOAQUIM MANOEL 644, S/N","4,55%",✅ Dentro da média,6.5,Gasolina Comum
POSTO UNIVERSO,RJ,CAMPOS DOS GOYTACAZES,"Rua AV.  ALBERTO LAMEGO 700, S/N","4,54%",✅ Dentro da média,6.499420166638327,Gasolina Comum
POSTO SANTANA,MA,MATOES,AVENIDA GETULIO VARGAS 23 2398,"4,53%",✅ Dentro da média,6.499249928222796,Gasolina Comum
POSTO MONTEZUMA V,CE,FORTALEZA,"Rua RUA GRACA ARANHA 150, S/N","4,52%",✅ Dentro da média,6.498336355065635,Gasolina Comum
AS ILHAS AUTO POSTO,SP,SAO SEBASTIAO,Área RUA MANOEL MARCELINO DE MAT,"4,47%",✅ Dentro da média,4.501937840589258,Etanol
POSTO CARIOCA,CE,FORTALEZA,"Rua AV.  LUIZ  VIEIRA  835, S/N","4,47%",✅ Dentro da média,6.14,Diesel S10
POSTO SANTO ANDRE LTDA,RJ,CAMPOS DOS GOYTACAZES,"Área AV RAUL SOUTO MAIOR 114, S/","4,46%",✅ Dentro da média,6.494531206197918,Gasolina Comum
PETROBULL,MG,ARAXA,"Rua AV AMAZONAS 308, S/N","4,45%",✅ Dentro da média,4.500921018743739,Etanol
POSTO CATATAU,CE,TIANGUA,Área AVENIDA JOSE EVANGELISTA DE,"4,43%",✅ Dentro da média,6.4926283689591076,Gasolina Comum
POSTO JARANA PARA-SHELL,CE,FORTALEZA,"Rua RUA FRANCISCO MATOS, S/N","4,40%",✅ Dentro da média,6.490922447013489,Gasolina Comum
AUTO POSTO DORNELAS,MG,MURIAE,"Rua PC DORNELAS 85, S/N","4,39%",✅ Dentro da média,6.490000000000001,Gasolina Comum
POSTO JARDIM AMALIA LTDA,RJ,VOLTA REDONDA,"Área AV AMARAL PEIXOTO, 957, S/N","4,39%",✅ Dentro da média,6.490000000000001,Gasolina Comum
POSTO MORADA NOVA 2,CE,MORADA NOVA,"Rua ROD CE 138 KM 64, S/N","4,39%",✅ Dentro da média,6.490000000000001,Gasolina Comum
A P COSTA,RJ,VOLTA REDONDA,"Área RODOVIA LUCIO MEIRA, S/N","4,39%",✅ Dentro da média,6.49,Gasolina Comum
ALIANCA VILA 2000,RJ,VOLTA REDONDA,"Rua R.  VINTE E TRES 08, S/N","4,39%",✅ Dentro da média,6.49,Gasolina Comum
AUTO POSTO ALEX,CE,IGUATU,"Rua RUA JULIO CAVALCANTE, 50, S/","4,39%",✅ Dentro da média,6.49,Gasolina Comum
AUTO POSTO MARCO TIMBOZAO LTDA,RJ,RETIRO DO MURIAE,"Área ROD BR 356, 2005, S/N","4,39%",✅ Dentro da média,6.49,Gasolina Comum
CEMOPEL TORRE 3,PE,RECIFE,Avenida MARECHAL MASCARENHAS DE,"4,39%",✅ Dentro da média,6.49,Gasolina Comum
ORGANIZACAO PATU,CE,BARREIRA,"Rua R FELIX PEREIRA 671, S/N","4,39%",✅ Dentro da média,6.49,Gasolina Comum
POSTO BRISA DE TERESOPOLIS LTDA,RJ,TERESOPOLIS,"Rua RUA MANOEL JOSE LEBRAO, 477,","4,39%",✅ Dentro da média,6.49,Gasolina Comum
POSTO CACIQUE,PI,AGUA BRANCA,"Área RODOVIA BR 343 805-A, S/N","4,39%",✅ Dentro da média,6.49,Gasolina Comum
POSTO CACIQUE 16,PI,MONSENHOR GIL,"Avenida ZITO BATISTA, 110","4,39%",✅ Dentro da média,6.49,Gasolina Comum
POSTO FLEX,RJ,ITAPERUNA,"Rua R GAL OSORIO 454, S/N","4,39%",✅ Dentro da média,6.49,Gasolina Comum
POSTO MIKA HAKKINEN,PE,RECIFE,"Área R ARTHUR BRUNO SCHWAMBACH,","4,39%",✅ Dentro da média,6.49,Gasolina Comum
POSTO NOVA SAO PEDRO LTDA,RJ,SAO PEDRO DA ALDEIA,"Área ROD RJ 140 SN, S/N","4,39%",✅ Dentro da média,6.49,Gasolina Comum
POSTO NOVA VR LIMITADA,RJ,VOLTA REDONDA,"Rua AVENIDA ALM ADALBERTO DE B,","4,39%",✅ Dentro da média,6.49,Gasolina Comum
POSTO PARQUE LEOPOLDINA DE CAMP,RJ,CAMPOS DOS GOYTACAZES,Área RUA RUA DR SILVIO BASTOS TA,"4,39%",✅ Dentro da média,6.49,Gasolina Comum
POSTO RECH,PE,RECIFE,Rua AV ENG DOMINGOS FERREIRA 211,"4,39%",✅ Dentro da média,6.49,Gasolina Comum
POSTO RODOVIA DO SOL LTDA,ES,GUARAPARI,"Área Rodovia do Sol, 571","4,39%",✅ Dentro da média,6.49,Gasolina Comum
POSTO TANCREDO NEVES,PE,RECIFE,"Rua RIBEIRO DE BRITO, 1034","4,39%",✅ Dentro da média,6.49,Gasolina Comum
POSTO TIMBOZAO III,RJ,ITAPERUNA,R CORONEL JOSE BASTOS 207,"4,39%",✅ Dentro da média,6.49,Gasolina Comum
TACARUNA PETROLEO,PE,RECIFE,Rua AV GOV AGAMENON MAGALHAES 11,"4,39%",✅ Dentro da média,6.49,Gasolina Comum
TALISMA PETROLEO LTDA,CE,GUARACIABA DO NORTE,"Rua AV TEN MATIAS 168, S/N","4,39%",✅ Dentro da média,6.49,Gasolina Comum
AUTO POSTO TIMBOZAO 2000 LTDA,RJ,ITAPERUNA,"Área AV PRESIDENTE DUTRA, 1226,","4,39%",✅ Dentro da média,6.489999999999999,Gasolina Comum
ITA POSTO DE GASOLINA LTDA,RJ,ITAPERUNA,"Área AV ZULAMITH BITENCOURT 400,","4,39%",✅ Dentro da média,6.489999999999999,Gasolina Comum
POSTO CAICARA DE ITAPERUNA LTDA,RJ,ITAPERUNA,"Área CORONEL JOSE BASTOS , 2325,","4,39%",✅ Dentro da média,6.489999999999999,Gasolina Comum
POSTO TITAN,RJ,MACAE,Rua R.  ALOISIO DA SILVA GOMES 5,"4,39%",✅ Dentro da média,6.489999999999999,Gasolina Comum
POSTO MAR AZUL,RJ,RIO DAS OSTRAS,Rua ROD AMARAL PEIXOTO 360 KM 14,"4,39%",✅ Dentro da média,6.489999999999998,Gasolina Comum
TAMARA GOMES UCHOA DE AMORIM,CE,IGUATU,"Avenida CARLOS ROBERTO COSTA, 17","4,39%",✅ Dentro da média,6.489999999999998,Gasolina Comum
POSTO PONTE SECA-SHELL,SP,RIBEIRAO PIRES,Rua R.  ALFREDO MENDES DA SILVA,"4,25%",✅ Dentro da média,4.4921927353595255,Etanol
BARROS AUTO POSTO,RJ,APERIBE,"Rua RODOVIA RJ 116 KM 205,5, S/N","4,24%",✅ Dentro da média,6.4807743104527225,Gasolina Comum
POSTO NATUREZA BURITICUPU,MA,BURITICUPU,"Área AV JOSE REINALDO TAVARES, 7","4,23%",✅ Dentro da média,6.480463917525772,Gasolina Comum
AUTO POSTO SANTA RITA,RN,SANTA CRUZ,"Área Avenida Trairi, 64, S/N","4,22%",✅ Dentro da média,6.48,Gasolina Comum
AUTO POSTO TREVO DE PRAIA SECA L,RJ,SAQUAREMA,"Rua RODOVIA AMARAL PEIXOTO, S/N","4,22%",✅ Dentro da média,6.48,Gasolina Comum
POSTO BELLAS BUZIOS LTDA,RJ,ARMACAO DOS BUZIOS,"Área RUA ENSEADA AZUL, S/N","4,22%",✅ Dentro da média,6.479999999999999,Gasolina Comum
RVM DO SUDOESTE -ESSO,MG,PASSOS,Rua AV. CDOR FRANCISCO A MAIA 43,"4,21%",✅ Dentro da média,4.490612995276047,Etanol
BULL PETROLEO,MG,ARAXA,"Rua AV WILSON BORGES 605, S/N","4,19%",✅ Dentro da média,4.490000000000001,Etanol
POSTO GALVAO,MG,CARMO DO RIO CLARO,"Avenida JOSE EVARISTO SANTANA, 3","4,19%",✅ Dentro da média,4.490000000000001,Etanol
POSTO SANTO ANTONIO,MG,COROMANDEL,Rua R CLESIO EUSTAQUIO MIGUELETO,"4,19%",✅ Dentro da média,4.490000000000001,Etanol
ARCO VERDE,SP,SAO PAULO,"Rua AV RAGUEB CHOFFI, S/N","4,19%",✅ Dentro da média,4.49,Etanol
AUTO POSTO TIBURCIO,SP,SAO PAULO,"Rua R.  TIBURCIO DE SOUSA 1000,","4,19%",✅ Dentro da média,4.49,Etanol
Auto Posto Verdurao,MG,COROMANDEL,Área Rua Doutor Ermiro Rodrigues,"4,19%",✅ Dentro da média,4.49,Etanol
ECOILHA,SP,ILHABELA,"Área AV PRINCESA ISABEL 2284, S/","4,19%",✅ Dentro da média,4.49,Etanol
PETROBULL,MG,ARAXA,"Rua R STO ANTONIO 575, S/N","4,19%",✅ Dentro da média,4.49,Etanol
POSTO 21,MG,BOA ESPERANCA,"Rua R GODOFREDO MOREIRA 120, S/N","4,19%",✅ Dentro da média,4.49,Etanol
POSTO CAPEBE CAMPO MEIO,MG,CAMPO DO MEIO,"Rua R CONEGO VITOR 281, S/N","4,19%",✅ Dentro da média,4.49,Etanol
RECANTO OIL AUTO POSTO,DF,BRASILIA,"Rua QUADRA    LOTE 1 304, S/N","4,19%",✅ Dentro da média,6.477720088444844,Gasolina Comum
COMERCIAL NORTE SUL LTDA,ES,VITORIA,"Rua AV.  MARUIPE 2757, S/N","4,15%",✅ Dentro da média,6.475627105211015,Gasolina Comum
MARAJO ELDORADO DOS CA,PA,ELDORADO DOS CARAJAS,"Área ROD BR 155 S N, S/N","4,13%",✅ Dentro da média,3.99,Arla 32
POSTO BRASIL-SHELL,CE,SOBRAL,"Rua AV.  BR-222 KM 221, S/N","4,13%",✅ Dentro da média,6.190000000000001,Diesel
POSTO MARAVILHA,CE,RUSSAS,"Avenida IRMA MARIA DA GRACA, 104","4,13%",✅ Dentro da média,6.19,Diesel
POSTO SOUSA,PI,BARRO DURO,"Rua AV CEL B DA LUZ 418, S/N","4,13%",✅ Dentro da média,6.19,Diesel
CENTER POSTO,CE,SOBRAL,Rua AV. DR ARIMATEIA M E SILVA 4,"4,13%",✅ Dentro da média,6.474302785218322,Gasolina Comum
INVESTGAS,PE,RECIFE,"Rua AV DA RECUPERACAO KM 10, S/N","4,13%",✅ Dentro da média,6.473863283272915,Gasolina Comum
POSTO MARACAJA,PE,SURUBIM,"Rua ROD PE 90 KM 63,3, S/N","4,13%",✅ Dentro da média,6.473863126402392,Gasolina Comum
RFL FRANCA AUTO POSTO,SP,FRANCA,"Rua RUA LINO MANOEL DE MORAES, S","4,07%",✅ Dentro da média,4.484750684241985,Etanol
DANTAS PAIVA COMBUSTIVEIS,CE,LIMOEIRO DO NORTE,"Rua CORONEL ANTONIO JOAQUIM, S/N","4,07%",✅ Dentro da média,6.470270405483152,Gasolina Comum
POSTO 3D JAMAPARA,RJ,JAMAPARA,"Rua AV  COTRIL, S/N","4,06%",✅ Dentro da média,6.470059153908869,Gasolina Comum
POSTO CAJU,ES,MIMOSO DO SUL,"Rua RODOVIA BR 101, KM 436, S/N","4,06%",✅ Dentro da média,6.47,Gasolina Comum
POSTO GAVIAO,CE,FORTALEZA,"Rua AV.  BEZERRA DE MENEZES 161,","4,06%",✅ Dentro da média,6.47,Gasolina Comum
POSTO LESTE OESTE,CE,FORTALEZA,Avenida PRESIDENTE CASTELO BRANC,"4,06%",✅ Dentro da média,6.47,Gasolina Comum
POSTO RESERVA DO VALE,AL,MACEIO,Rua AV.MENINO MARCELO 8551 LT 2,"4,06%",✅ Dentro da média,6.47,Gasolina Comum
SERVICAR,PE,RECIFE,"Área AV CONSELHEIRO AGUIAR, 4845","4,06%",✅ Dentro da média,6.47,Gasolina Comum
POSTO DIVISA POSTO DIVI,RJ,JAMAPARA,"Rua R PAULINO FERNANDES 21 D, S/","4,06%",✅ Dentro da média,6.46995976670929,Gasolina Comum
POSTO ANCORA,RJ,RIO DAS OSTRAS,"Rua AV. DAS CASUARINAS SN, S/N","4,05%",✅ Dentro da média,6.4689593439778985,Gasolina Comum
POSTO CIDADE NATAL,RN,NATAL,"Rua AV SEN SALGADO FILHO 2102, S","4,04%",✅ Dentro da média,6.46866251062624,Gasolina Comum
POSTO DA ILHA,PE,ILHA DE ITAMARACA,RODOVIA MARIO MELO PE 35 KM  00,"4,04%",✅ Dentro da média,6.468365319074813,Gasolina Comum
VILA DE GOIANA COMBUSTIVEIS,PE,GOIANA,ROD BR 101 0,"4,02%",✅ Dentro da média,6.467606325625973,Gasolina Comum
POSTO GLORIA,RJ,SAO JOAO DA BARRA,"Rua RODOVIA BR 356 KM 16, S/N","4,01%",✅ Dentro da média,6.466796875,Gasolina Comum
AUTO POSTO PAPAI DE MAUA LTDA,SP,MAUA,"Rua AV BR MAUA 2711, S/N","3,99%",✅ Dentro da média,4.481391237509608,Etanol
PIT STOP,RJ,TERESOPOLIS,"Rua AV ALBERTO TORRES 569, S/N","3,98%",✅ Dentro da média,6.464628871709363,Gasolina Comum
POSTO VARZEA,RJ,TERESOPOLIS,"Rua AV FELICIANO SODRE 999, S/N","3,96%",✅ Dentro da média,6.463713098946744,Gasolina Comum
POSTO MARAPONGA,CE,FORTALEZA,"Rua AV.GODOFREDO MACIEL 2400, S/","3,93%",✅ Dentro da média,6.461774803607796,Gasolina Comum
PIT STOP,RJ,TERESOPOLIS,"Rua AV.  ALBERTO TORRES 610, S/N","3,90%",✅ Dentro da média,6.459847943381683,Gasolina Comum
POSTO TIMBOZAO ITAPERUNA LTDA,RJ,ITAPERUNA,"Área AV PRESIDENTE DUTRA, 1099,","3,89%",✅ Dentro da média,6.458911554152876,Gasolina Comum
POSTO ERMITAGE,RJ,TERESOPOLIS,"Rua WILHELM CRISTIAN KLEME, S/N","3,80%",✅ Dentro da média,6.453637630199696,Gasolina Comum
POSTO ATUAL,PE,SANTA CRUZ DO CAPIBARIBE,Rua R MANOEL MONTEIRO DA PAIXAO,"3,79%",✅ Dentro da média,6.1000000000000005,Diesel S10
POSTO MIRANTE,ES,VITORIA,Rua AV.JOSE MARIA VIVACQUA SANTO,"3,78%",✅ Dentro da média,6.452647274057813,Gasolina Comum
COMERCIAL DE PETROLEO CHAVES,CE,CAUCAIA,"Rua RODOVIA QUARTO ANEL VIARIO,","3,78%",✅ Dentro da média,6.099679197008463,Diesel S10
POSTO UIRAPURU,CE,FORTALEZA,"Rua AV ALBERTO CRAVEIRO 1973, S/","3,75%",✅ Dentro da média,6.45065958950887,Gasolina Comum
FC COMBUSTIVEIS,MA,CODO,"Avenida SANTOS DUMONT, 1831","3,74%",✅ Dentro da média,6.450166555088959,Gasolina Comum
POSTO BRITO,BA,REMANSO,"Rua RDV BR 235 KM 05 01, S/N","3,74%",✅ Dentro da média,6.450000000000001,Gasolina Comum
JANGADA COMERCIO DE COMBUSTIVEIS,CE,FORTALEZA,"Rua AV.  ABOLICAO 2432, S/N","3,74%",✅ Dentro da média,6.45,Gasolina Comum
POSTO AJUDA DE CIMA,RJ,MACAE,Rua R HILDEBRANDO ALVES BARBOS 5,"3,74%",✅ Dentro da média,6.45,Gasolina Comum
POSTO CARIBE,CE,FORTALEZA,"Rua AV ENG SANTANA JUNIOR 2900,","3,74%",✅ Dentro da média,6.45,Gasolina Comum
POSTO LAGOMAR,RJ,MACAE,Rua ROD AMARAL PEIXOTO KM 184 S/,"3,74%",✅ Dentro da média,6.45,Gasolina Comum
POSTO MOREIRA CABRAL,RJ,CASIMIRO DE ABREU,"Rua RODOVIA BR 101 KM 205, S/N","3,74%",✅ Dentro da média,6.45,Gasolina Comum
POSTO MOREIRA CABRAL 3,RJ,MACAE,"Rodovia LACERDA AGOSTINHO, 4751","3,74%",✅ Dentro da média,6.45,Gasolina Comum
POSTO NOVO I,PI,PICOS,"Rua ROD BR 316 KM 308 S/N, S/N","3,74%",✅ Dentro da média,6.45,Gasolina Comum
POSTO VINOLIA,MA,VIANA,"Área ROD MA 014, S/N","3,74%",✅ Dentro da média,6.45,Gasolina Comum
POSTO VINOLIA,MA,VIANA,"Rua ROD MA 14, S/N","3,74%",✅ Dentro da média,6.45,Gasolina Comum
SCJ,CE,FORTALEZA,"Área RODOVIA IGUATU ACOPIARA, S/","3,74%",✅ Dentro da média,6.45,Gasolina Comum
ALESAT POSTO MOREIRA CABRAL,RJ,MACAE,"Rodovia AMARAL PEIXOTO, 2511","3,74%",✅ Dentro da média,6.449999999999999,Gasolina Comum
AUTO POSTO 2000,MG,ARAXA,"Rua AVENIDA IMBIARA, 30, S/N","3,73%",✅ Dentro da média,4.47,Etanol
POSTO GRANADA,MG,UBERLANDIA,"Rua AL RAUL PETRONILHO PADUA 75,","3,73%",✅ Dentro da média,4.47,Etanol
POSTO CAMPEAO,CE,FORTALEZA,"Rua AV.  BENJAMIM BRASIL 404, S/","3,72%",✅ Dentro da média,6.4484303543010295,Gasolina Comum
POSTO BOI CAMPEAO,SP,GUARULHOS,EST PRES JUSCEL KUBITSCHEK 1785,"3,64%",✅ Dentro da média,4.465975028529235,Etanol
